system:index,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEO_NAME,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,STATEFP,TRACTCE,Year,sq_miles,.geo
000000000000000001ed,5.2225472E8,9298335.0,1,073,S,270731802001,270731802001,+45.1169575,-096.3462822,G5030,Block Group 1,27,180200,2021,"{groups=[{classification=0, sum=44.7143182200407}, {classification=1, sum=7.525938420000779}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ff,2.9455354E8,2.3452601E7,1,057,S,270570707001,270570707001,+46.8754271,-094.8204026,G5030,Block Group 1,27,070700,2021,"{groups=[{classification=0, sum=35.094057569981565}, {classification=1, sum=39.64895649001948}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000212,4.40172192E8,3.0425627E7,1,057,S,270570702001,270570702001,+47.1444608,-095.0319099,G5030,Block Group 1,27,070200,2021,"{groups=[{classification=0, sum=41.92814340003845}, {classification=1, sum=117.048879089579}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000248,1.56325007E8,137471.0,1,129,S,271297904001,271297904001,+44.5892728,-094.9695024,G5030,Block Group 1,27,790400,2021,"{groups=[{classification=0, sum=6.027909030000118}, {classification=1, sum=7.871690970001327}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000249,3.66618402E8,113666.0,1,129,S,271297906001,271297906001,+44.6223647,-094.7619911,G5030,Block Group 1,27,790600,2021,"{groups=[{classification=0, sum=6.77744496000061}, {classification=1, sum=2.0870249399999783}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024d,8.8940154E7,78768.0,1,129,S,271297905001,271297905001,+44.7522926,-095.0612782,G5030,Block Group 1,27,790500,2021,"{groups=[{classification=0, sum=3.8672162099988707}, {classification=1, sum=1.5310409400000244}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024e,2.69119286E8,8872385.0,1,129,S,271297901001,271297901001,+44.8265896,-094.6154167,G5030,Block Group 1,27,790100,2021,"{groups=[{classification=0, sum=7.372000350001}, {classification=1, sum=1.9598436000000317}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a0,1.0902803E7,12511.0,1,161,S,271617905001,271617905001,+44.0562308,-093.4911735,G5030,Block Group 1,27,790500,2021,"{groups=[{classification=0, sum=0.9510801300000148}, {classification=1, sum=0.5201925300000075}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a5,1.9258883E7,396604.0,1,071,S,270717902001,270717902001,+48.5675135,-093.4506645,G5030,Block Group 1,27,790200,2021,"{groups=[{classification=0, sum=3.9176022599988394}, {classification=1, sum=3.1267150199993314}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a7,3.502844E7,6.4382364E7,1,071,S,270717903001,270717903001,+48.6189144,-093.2539115,G5030,Block Group 1,27,790300,2021,"{groups=[{classification=0, sum=6.090457230000159}, {classification=1, sum=7.5624248700011245}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a8,2.46420613E8,2867671.0,1,071,S,270717905001,270717905001,+48.4523325,-093.6246109,G5030,Block Group 1,27,790500,2021,"{groups=[{classification=0, sum=46.48477977007638}, {classification=1, sum=45.33007050006677}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000316,4.20011501E8,628363.0,1,135,S,271359701001,271359701001,+48.9368000,-095.5605802,G5030,Block Group 1,27,970100,2021,"{groups=[{classification=0, sum=85.71570579002986}, {classification=1, sum=36.21679775998309}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033c,6.40066959E8,1.235825784E9,1,077,S,270774604001,270774604001,+48.9692144,-094.9710077,G5030,Block Group 1,27,460400,2021,"{groups=[{classification=0, sum=108.78452442008572}, {classification=1, sum=96.95109996013365}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000033d,6.33153078E8,4761259.0,1,077,S,270774603001,270774603001,+48.5974535,-094.6005910,G5030,Block Group 1,27,460300,2021,"{groups=[{classification=0, sum=122.13613268973097}, {classification=1, sum=90.95898240009974}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000356,1.55890599E8,505954.0,1,087,S,270879401001,270879401001,+47.2167534,-095.9866859,G5030,Block Group 1,27,940100,2021,"{groups=[{classification=0, sum=10.199526479997232}, {classification=1, sum=1.0407325500000162}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003a3,3.38002769E8,2.5852464E7,1,101,S,271019001001,271019001001,+44.1458295,-095.6381124,G5030,Block Group 1,27,900100,2021,"{groups=[{classification=0, sum=11.793810599994202}, {classification=1, sum=5.167871279999554}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ac,4.03018597E8,57964.0,1,125,S,271250101001,271250101001,+47.8991553,-095.9127935,G5030,Block Group 1,27,010100,2021,"{groups=[{classification=0, sum=30.712556159960275}, {classification=1, sum=9.982692719998099}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003ad,1.82554336E8,78589.0,1,125,S,271250102001,271250102001,+47.9197105,-096.3639027,G5030,Block Group 1,27,010200,2021,"{groups=[{classification=0, sum=9.581341769998406}, {classification=1, sum=4.407215669999055}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003b1,1.372676114E9,4.2062445E7,1,075,S,270753701001,270753701001,+47.3855158,-091.3599472,G5030,Block Group 1,27,370100,2021,"{groups=[{classification=0, sum=256.81109453988074}, {classification=1, sum=269.4357537297277}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000044e,1.7698454E7,1460312.0,1,051,S,270510701001,270510701001,+45.9945919,-095.9708961,G5030,Block Group 1,27,070100,2021,"{groups=[{classification=0, sum=1.3572959400000215}, {classification=1, sum=0.33602283000000444}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000450,3.57431926E8,1.6334586E7,1,051,S,270510702001,270510702001,+45.8378837,-095.9108467,G5030,Block Group 1,27,070200,2021,"{groups=[{classification=0, sum=23.18939765997255}, {classification=1, sum=4.374899099999034}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000494,3.268576E8,200004.0,1,129,S,271297903001,271297903001,+44.7794400,-095.3561602,G5030,Block Group 1,27,790300,2021,"{groups=[{classification=0, sum=17.098245449984123}, {classification=1, sum=11.29550993999515}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000636,1.093719737E9,1.3595105E7,1,135,S,271359702001,271359702001,+48.8855277,-096.1520543,G5030,Block Group 1,27,970200,2021,"{groups=[{classification=0, sum=184.12626374907825}, {classification=1, sum=31.988191949972865}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000735,7.6151723E7,1.8151908E7,1,075,S,270753703001,270753703001,+47.2356375,-091.3659531,G5030,Block Group 1,27,370300,2021,"{groups=[{classification=0, sum=12.007516949993796}, {classification=1, sum=16.423072379985406}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007c0,1.3222615E7,694802.0,1,173,S,271739701001,271739701001,+44.8330737,-095.5897225,G5030,Block Group 1,27,970100,2021,"{groups=[{classification=0, sum=1.9504613700000315}, {classification=1, sum=1.0153657800000158}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007c1,3.53939405E8,909111.0,1,173,S,271739703001,271739703001,+44.7539170,-095.9810625,G5030,Block Group 1,27,970300,2021,"{groups=[{classification=0, sum=13.835661839993632}, {classification=1, sum=4.142428289998999}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007c2,1.58433857E8,1909057.0,1,173,S,271739704001,271739704001,+44.6803316,-095.6137707,G5030,Block Group 1,27,970400,2021,"{groups=[{classification=0, sum=5.0632767899994855}, {classification=1, sum=2.6909625599996025}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000008d2,1.0723837E7,706316.0,1,023,S,270239506001,270239506001,+44.9147873,-095.7024509,G5030,Block Group 1,27,950600,2021,"{groups=[{classification=0, sum=1.8145927800000292}, {classification=1, sum=1.148106960000018}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000091f,1.98830944E8,6793756.0,1,115,S,271159503001,271159503001,+46.2097343,-092.9268394,G5030,Block Group 1,27,950300,2021,"{groups=[{classification=0, sum=26.73518561996581}, {classification=1, sum=31.895412119956006}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000921,1.8842909E7,3024710.0,1,115,S,271159507001,271159507001,+45.8662696,-092.9578138,G5030,Block Group 1,27,950700,2021,"{groups=[{classification=0, sum=2.6141672699996503}, {classification=1, sum=2.625981929999643}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000094b,1.11398713E8,2723503.0,1,029,S,270290001001,270290001001,+47.5581793,-095.4580235,G5030,Block Group 1,27,000100,2021,"{groups=[{classification=0, sum=25.412291189968325}, {classification=1, sum=3.838027049998889}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000094d,3.94564606E8,1.8480118E7,1,029,S,270290002001,270290002001,+47.3325964,-095.4771320,G5030,Block Group 1,27,000200,2021,"{groups=[{classification=0, sum=59.75681283009291}, {classification=1, sum=67.8244881601078}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a82,6180768.0,10612.0,1,133,S,271335702001,271335702001,+43.6655104,-096.2295501,G5030,Block Group 1,27,570200,2021,"{groups=[{classification=0, sum=0.5427793800000079}, {classification=1, sum=0.1831272300000019}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a86,2.87206806E8,269979.0,1,133,S,271335703001,271335703001,+43.5800341,-096.1432605,G5030,Block Group 1,27,570300,2021,"{groups=[{classification=0, sum=6.726363930000576}, {classification=1, sum=2.3104610099998393}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a8b,3.4118393E8,119329.0,1,133,S,271335701001,271335701001,+43.7546917,-096.3370765,G5030,Block Group 1,27,570100,2021,"{groups=[{classification=0, sum=6.258294900000269}, {classification=1, sum=1.8326622600000295}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ae0,4227609.0,171137.0,1,043,S,270434604001,270434604001,+43.6500602,-094.1162040,G5030,Block Group 1,27,460400,2021,"{groups=[{classification=0, sum=0.4764087900000068}, {classification=1, sum=0.5994202500000089}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ae5,2.45971634E8,120420.0,1,063,S,270634801001,270634801001,+43.6022446,-094.9243261,G5030,Block Group 1,27,480100,2021,"{groups=[{classification=0, sum=5.86319877000001}, {classification=1, sum=2.2809243599998577}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ae6,2.38599362E8,248059.0,1,063,S,270634802001,270634802001,+43.7493655,-095.3580179,G5030,Block Group 1,27,480200,2021,"{groups=[{classification=0, sum=7.160726430000861}, {classification=1, sum=2.359457099999809}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
