system:index,GEOID,Year,sq_miles,.geo
00000000000000000031,270030507023,2021,"{groups=[{classification=0, sum=0.18868707000000198}, {classification=1, sum=0.18555966000000193}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,270030507022,2021,"{groups=[{classification=0, sum=0.08652501000000028}, {classification=1, sum=0.06289568999999988}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,270030504024,2021,"{groups=[{classification=0, sum=0.08061768000000018}, {classification=1, sum=0.14976819000000133}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,270030508194,2021,"{groups=[{classification=0, sum=0.15011568000000133}, {classification=1, sum=0.08305011000000022}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,270030508193,2021,"{groups=[{classification=0, sum=0.10841688000000065}, {classification=1, sum=0.04552118999999992}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,270030502383,2021,"{groups=[{classification=0, sum=0.3408876900000045}, {classification=1, sum=0.16193034000000153}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,270030502164,2021,"{groups=[{classification=0, sum=0.4364474400000061}, {classification=1, sum=1.3013500500000206}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,270030512033,2021,"{groups=[{classification=0, sum=0.18486468000000192}, {classification=1, sum=0.1355211000000011}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,270030508222,2021,"{groups=[{classification=0, sum=0.21718125000000246}, {classification=1, sum=0.16123536000000152}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,270030502402,2021,"{groups=[{classification=0, sum=0.24011559000000285}, {classification=1, sum=0.488570940000007}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,270030507044,2021,"{groups=[{classification=0, sum=0.07019298}, {classification=1, sum=0.053860949999999894}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,270030505012,2021,"{groups=[{classification=0, sum=0.2081465100000023}, {classification=1, sum=0.130656240000001}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,270030502392,2021,"{groups=[{classification=0, sum=0.49065588000000704}, {classification=1, sum=1.0396900800000162}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,270030502391,2021,"{groups=[{classification=0, sum=0.29501901000000375}, {classification=1, sum=0.308918610000004}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,270030502273,2021,"{groups=[{classification=0, sum=0.09104238000000035}, {classification=1, sum=0.06880301999999998}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,270030508251,2021,"{groups=[{classification=0, sum=0.3770266500000051}, {classification=1, sum=0.21092643000000236}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,270030508263,2021,"{groups=[{classification=0, sum=0.1786098600000018}, {classification=1, sum=0.12613887000000093}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,270030508215,2021,"{groups=[{classification=0, sum=0.15046317000000134}, {classification=1, sum=0.047258639999999914}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,270030502083,2021,"{groups=[{classification=0, sum=0.14386086000000123}, {classification=1, sum=0.17999982000000184}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,270030502373,2021,"{groups=[{classification=0, sum=0.48023118000000686}, {classification=1, sum=0.47432385000000676}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,270030502372,2021,"{groups=[{classification=0, sum=1.805905530000029}, {classification=1, sum=1.380577770000022}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,270030502262,2021,"{groups=[{classification=0, sum=0.4583393100000065}, {classification=1, sum=0.4520844900000064}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,270030508293,2021,"{groups=[{classification=0, sum=1.6755967800000269}, {classification=1, sum=0.6887251800000104}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,270030516004,2021,"{groups=[{classification=0, sum=2.3837813999997937}, {classification=1, sum=3.62710061999902}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,270030502363,2021,"{groups=[{classification=0, sum=0.4840535700000069}, {classification=1, sum=0.6206171400000092}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,270030508261,2021,"{groups=[{classification=0, sum=0.2077990200000023}, {classification=1, sum=0.20884149000000232}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,270030507103,2021,"{groups=[{classification=0, sum=0.6227020800000093}, {classification=1, sum=0.17027010000000167}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,270030502295,2021,"{groups=[{classification=0, sum=0.5598063900000082}, {classification=1, sum=0.5010805800000072}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,270030512061,2021,"{groups=[{classification=0, sum=1.087991190000017}, {classification=1, sum=0.13169871000000102}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,270030501072,2021,"{groups=[{classification=0, sum=2.253125159999875}, {classification=1, sum=4.767215309999291}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,270030511032,2021,"{groups=[{classification=0, sum=0.25853256000000313}, {classification=1, sum=0.12926628000000098}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,270030508214,2021,"{groups=[{classification=0, sum=0.3408876900000045}, {classification=1, sum=0.06776054999999996}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
