system:index,CTU_NAME,Year,sq_miles,.geo
00000000000000000099,East Bethel,2021,"{groups=[{classification=0, sum=14.787784439988513}, {classification=1, sum=16.31048561998562}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,Brooklyn Park,2021,"{groups=[{classification=0, sum=14.935815179988232}, {classification=1, sum=8.73728856000001}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,Fridley,2021,"{groups=[{classification=0, sum=6.544279170000457}, {classification=1, sum=3.4081819199991563}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,Maple Plain,2021,"{groups=[{classification=0, sum=0.7106170500000107}, {classification=1, sum=0.2759070600000034}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,Baytown Twp.,2021,"{groups=[{classification=0, sum=1.2513114900000197}, {classification=1, sum=2.6058275099996555}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,Loretto,2021,"{groups=[{classification=0, sum=0.19876428000000215}, {classification=1, sum=0.04830110999999991}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,Mahtomedi,2021,"{groups=[{classification=0, sum=1.331929170000021}, {classification=1, sum=1.982777940000032}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,Vermillion,2021,"{groups=[{classification=0, sum=0.19876428000000215}, {classification=1, sum=0.11119680000000069}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,Maple Grove,2021,"{groups=[{classification=0, sum=15.795505439986599}, {classification=1, sum=11.941841339993921}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,Osseo,2021,"{groups=[{classification=0, sum=0.5924704500000088}, {classification=1, sum=0.1487257200000013}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,Fort Snelling (unorg.),2021,"{groups=[{classification=0, sum=5.505979049999776}, {classification=1, sum=1.7211179700000276}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,Credit River Twp.,2021,"{groups=[{classification=0, sum=3.8543590799988787}, {classification=1, sum=7.817482530001292}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,Nininger Twp.,2021,"{groups=[{classification=0, sum=1.1974505400000188}, {classification=1, sum=2.6975648699995984}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,Eden Prairie,2021,"{groups=[{classification=0, sum=14.918440679988265}, {classification=1, sum=14.050063169989915}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,Rogers,2021,"{groups=[{classification=0, sum=9.54277037999848}, {classification=1, sum=4.68868256999924}]}","{""type"":""MultiPoint"",""coordinates"":[]}"
